
Episode 1509, Reward: 520.0, MovingAvg(100): 645.00, avgMovingReward: 575.1, Epsilon: 0.0500, Actor_Loss: -26.8890, Critic_Loss: 1174.3524, Entropy: 2.0467

Episode 1510, Reward: 830.0, MovingAvg(100): 646.50, avgMovingReward: 600.6, Epsilon: 0.0500, Actor_Loss: 10.4369, Critic_Loss: 2843.1019, Entropy: 2.0381

Episode 1511, Reward: 620.0, MovingAvg(100): 635.70, avgMovingReward: 602.5, Epsilon: 0.0500, Actor_Loss: -23.3338, Critic_Loss: 1117.8416, Entropy: 2.0602

Episode 1512, Reward: 610.0, MovingAvg(100): 632.30, avgMovingReward: 603.3, Epsilon: 0.0500, Actor_Loss: -109.2275, Critic_Loss: 15141.8827, Entropy: 2.0655

Episode 1513, Reward: 750.0, MovingAvg(100): 636.70, avgMovingReward: 617.9, Epsilon: 0.0500, Actor_Loss: 41.8462, Critic_Loss: 2555.9205, Entropy: 2.0541

Episode 1514, Reward: 490.0, MovingAvg(100): 637.00, avgMovingReward: 605.1, Epsilon: 0.0500, Actor_Loss: -0.5727, Critic_Loss: 731.8514, Entropy: 2.0617

Episode 1515, Reward: 770.0, MovingAvg(100): 639.20, avgMovingReward: 621.6, Epsilon: 0.0500, Actor_Loss: -25.9534, Critic_Loss: 1734.7718, Entropy: 2.0573

Episode 1516, Reward: 590.0, MovingAvg(100): 639.90, avgMovingReward: 618.5, Epsilon: 0.0500, Actor_Loss: -28.6955, Critic_Loss: 5743.7190, Entropy: 2.0424

Episode 1517, Reward: 1000.0, MovingAvg(100): 647.50, avgMovingReward: 656.6, Epsilon: 0.0500, Actor_Loss: -173.5641, Critic_Loss: 70368.0703, Entropy: 2.0419

Episode 1518, Reward: 340.0, MovingAvg(100): 638.30, avgMovingReward: 625.0, Epsilon: 0.0500, Actor_Loss: 26.9275, Critic_Loss: 1174.3894, Entropy: 2.0389

Episode 1519, Reward: 840.0, MovingAvg(100): 644.10, avgMovingReward: 646.5, Epsilon: 0.0500, Actor_Loss: -42.3407, Critic_Loss: 3546.4329, Entropy: 2.0481

Episode 1520, Reward: 750.0, MovingAvg(100): 630.30, avgMovingReward: 656.8, Epsilon: 0.0500, Actor_Loss: 15.4994, Critic_Loss: 2097.3139, Entropy: 2.0342

Episode 1521, Reward: 530.0, MovingAvg(100): 623.40, avgMovingReward: 644.1, Epsilon: 0.0500, Actor_Loss: -61.2252, Critic_Loss: 8211.6611, Entropy: 2.0559

Episode 1522, Reward: 320.0, MovingAvg(100): 625.00, avgMovingReward: 611.7, Epsilon: 0.0500, Actor_Loss: 50.5049, Critic_Loss: 3375.0036, Entropy: 2.0507

Episode 1523, Reward: 490.0, MovingAvg(100): 626.90, avgMovingReward: 599.6, Epsilon: 0.0500, Actor_Loss: -46.7747, Critic_Loss: 2719.0321, Entropy: 2.0585

Episode 1524, Reward: 780.0, MovingAvg(100): 630.10, avgMovingReward: 617.6, Epsilon: 0.0500, Actor_Loss: -90.3770, Critic_Loss: 12928.8890, Entropy: 2.0602

Episode 1525, Reward: 410.0, MovingAvg(100): 630.90, avgMovingReward: 596.8, Epsilon: 0.0500, Actor_Loss: 9.8615, Critic_Loss: 2298.6356, Entropy: 2.0528

Episode 1526, Reward: 670.0, MovingAvg(100): 627.40, avgMovingReward: 604.2, Epsilon: 0.0500, Actor_Loss: -117.5755, Critic_Loss: 21166.4889, Entropy: 2.0660

Episode 1527, Reward: 890.0, MovingAvg(100): 633.40, avgMovingReward: 632.7, Epsilon: 0.0500, Actor_Loss: -14.3145, Critic_Loss: 2030.7636, Entropy: 2.0503

Episode 1528, Reward: 990.0, MovingAvg(100): 634.70, avgMovingReward: 668.5, Epsilon: 0.0500, Actor_Loss: -63.0902, Critic_Loss: 5901.8750, Entropy: 2.0376

Episode 1529, Reward: 860.0, MovingAvg(100): 639.20, avgMovingReward: 687.6, Epsilon: 0.0500, Actor_Loss: 48.9688, Critic_Loss: 3074.8902, Entropy: 2.0212

Episode 1530, Reward: 560.0, MovingAvg(100): 640.10, avgMovingReward: 674.9, Epsilon: 0.0500, Actor_Loss: 6.6908, Critic_Loss: 2210.8261, Entropy: 2.0257

Episode 1531, Reward: 690.0, MovingAvg(100): 639.30, avgMovingReward: 676.4, Epsilon: 0.0500, Actor_Loss: 24.0231, Critic_Loss: 1145.8798, Entropy: 2.0574

Episode 1532, Reward: 460.0, MovingAvg(100): 641.40, avgMovingReward: 654.7, Epsilon: 0.0500, Actor_Loss: -122.4210, Critic_Loss: 22136.9652, Entropy: 2.0698

Episode 1533, Reward: 1040.0, MovingAvg(100): 647.30, avgMovingReward: 693.3, Epsilon: 0.0500, Actor_Loss: 20.9331, Critic_Loss: 611.0439, Entropy: 2.0749

Episode 1534, Reward: 310.0, MovingAvg(100): 641.40, avgMovingReward: 654.9, Epsilon: 0.0500, Actor_Loss: -24.2710, Critic_Loss: 912.0316, Entropy: 2.0743

Episode 1535, Reward: 740.0, MovingAvg(100): 642.90, avgMovingReward: 663.4, Epsilon: 0.0500, Actor_Loss: -18.7610, Critic_Loss: 653.2880, Entropy: 2.0759

Episode 1536, Reward: 650.0, MovingAvg(100): 639.90, avgMovingReward: 662.1, Epsilon: 0.0500, Actor_Loss: -19.7495, Critic_Loss: 968.5649, Entropy: 2.0655

Episode 1537, Reward: 560.0, MovingAvg(100): 641.90, avgMovingReward: 651.9, Epsilon: 0.0500, Actor_Loss: -0.9141, Critic_Loss: 1648.3493, Entropy: 2.0514

Episode 1538, Reward: 650.0, MovingAvg(100): 646.00, avgMovingReward: 651.7, Epsilon: 0.0500, Actor_Loss: -10.6650, Critic_Loss: 584.4769, Entropy: 2.0536

Episode 1539, Reward: 930.0, MovingAvg(100): 647.80, avgMovingReward: 679.5, Epsilon: 0.0500, Actor_Loss: 10.2602, Critic_Loss: 3822.3369, Entropy: 2.0252

Episode 1540, Reward: 560.0, MovingAvg(100): 647.70, avgMovingReward: 667.6, Epsilon: 0.0500, Actor_Loss: -33.9586, Critic_Loss: 1533.9427, Entropy: 2.0296

Episode 1541, Reward: 690.0, MovingAvg(100): 648.20, avgMovingReward: 669.8, Epsilon: 0.0500, Actor_Loss: 47.0187, Critic_Loss: 3475.7950, Entropy: 2.0200

Episode 1542, Reward: 390.0, MovingAvg(100): 649.70, avgMovingReward: 641.8, Epsilon: 0.0500, Actor_Loss: 35.6452, Critic_Loss: 1807.3063, Entropy: 2.0180

Episode 1543, Reward: 540.0, MovingAvg(100): 644.80, avgMovingReward: 631.7, Epsilon: 0.0500, Actor_Loss: -26.2466, Critic_Loss: 4002.1760, Entropy: 2.0361

Episode 1544, Reward: 720.0, MovingAvg(100): 642.20, avgMovingReward: 640.5, Epsilon: 0.0500, Actor_Loss: 83.8295, Critic_Loss: 9050.2102, Entropy: 2.0172

